doc,Abstract
11,"Background Government responses to the pandemic varied in terms of timing, duration, and stringency, seeking to protect healthcare systems, whose pre-pandemic state varied significantly. Therefore, the severity of Covid-19 and, thus, excess mortality have been unequal across counties. This paper explores the geography of excess mortality and its underlying factors in 2020, highlighting the effects of health policies pre-pandemic and strategies devised by governments to cope with Covid-19. Methods Excess mortality is estimated for 79 high, medium and low-income countries. The factors of excess mortality are examined employing median quantile regression analysis. Results Health privatization, healthcare underfunding, and late implementation of containment and mitigation strategies were powerful drivers of excess mortality. By contrast, the results suggest a negative association of excess mortality with health expenditure, number of doctors and hospital beds, share of population covered by health insurance and test and trace capacity. Conclusions The evidence highlights the importance of sufficiently funded healthcare systems with universal access and strong primary healthcare in the battle against the pandemic. An early response to Covid-19, including borders' controls and a strong test and trace capacity, could improve epidemiological surveillance and minimize excess mortality, with stringent and lengthy lockdowns not providing a significant benefit."
12,"Iran's policy response to the COVID-19 pandemic illustrates how countries with pre-existing challenges manage acute crises. Already economically weakened by international sanctions, Iran's government was forced to consider short-term tradeoffs between public health and social stability in pandemic response, with imminent unemployment and food insecurity used to justify a policy pivot from mitigation to economic continuity. This article investigates the policy responses of Iran's government during the crucial first months of the pandemic, using data obtained through interviews structured around SWOT analysis (strengths, weaknesses, opportunities, and threats) and interpreted to elicit insights for policy capacity theory and practice. Explanations for Iran's initially ineffective pandemic response are found to include weakness in economic policy, failure to coordinate public health initiatives, priority of treatment over prevention, insufficient public engagement, and inadequate healthcare facilities. Policy recommendations emerging from the study are comprehensive and coordinated pandemic management efforts, community-based and proactive approaches, targeted economic stimulus, and a clear policy vision for crisis resolution. The discussion integrates policy capacity into explanations and recommendations to illustrate the applied value of the concept in crisis settings characterized by uncertainty and rapid onset."
13,"The severe scarcity of critical medical supplies caused by the COVID-19 pandemic led to considerable pro-curement challenges in the healthcare supply chain (HCSC). As ensuring the availability of such supplies during disruptions is critical, the debate on how to increase supply chain resilience in healthcare has gained new mo-mentum. We present empirical evidence from a multi-tier case study spanning nine European medical supplies manufacturers and hospital groups. Based on the resource dependence theory, we investigated procurement -related strategies to improve medical supplies availability. We conducted semi-structured interviews with 39 procurement and supply chain management experts and derived seven propositions on buffering and bridging approaches for managing evolving resource dependencies and thereby strengthening supply chain resilience in a pandemic. Overall, we confirm the resource dependence theory's applicability for explaining companies' miti-gation measures in a pandemic disruption. We find that bridging measures within the healthcare supply base, such as offering procurement support for suppliers or leveraging long-term buyer-supplier relationships, are more effective for securing medical supplies than buffering measures. Complementing bridging with buffering, such as extended upstream procurement or resource sharing among hospitals, can lead to superior risk mitigation as capacities of the present supplier base may not suffice. Furthermore, we extend the resource dependence theory by showing that the severity of disruptions caused by a pandemic triggers new forms of buffering external to the HCSC. Both traditional and new buffering measures establish novel flows of medical supplies in the HCSC that can enable higher supply security in a pandemic."
14,"Purpose of review The COVID-19 pandemic has driven transformation in every aspect of the healthcare delivery system. The unpredictable onset and magnitude of COVID-19 infections resulted in wide gaps in preparedness for healthcare systems. The development of protocols to address both scarcity of resources and staff protection continues to be essential for risk mitigation. Recent findings The northeast region of the United States had a rapid early surge of COVID-19 infections leading to the exhaustion of critical care capacity. In addition, northeastern hospitals experienced decrease in elective surgical interventions, including organ transplantation. Limited availability of COVID-19 testing and personal protective equipment further fueled the pandemic. This commentary highlights a comprehensive innovative approach to addressing the operating room and hospital demands, as well as the shortages in resources and staffing during the pandemic. The VCU Department of Anesthesiology operated at 40% of its regular operating room volume throughout the COVID-19 pandemic because of the increased demand from emergency cases. The delay in the peak surge allowed Virginia Commonwealth University, Department of Anesthesiology to develop a comprehensive infrastructure resulting in resulting is maximal workforce risk mitigation."
15,"Objectives: Pandemics pressure national governments to respond swiftly. Mitigation efforts created an imbalance between population health, capacity of the healthcare system and economic prosperity. Each pandemic arising from a new virus is unknown territory for policy makers, and there is considerable uncertainty of the appropriateness of responses and outcomes. Methods: A qualitative approach was used to review mixed sources of data including Australian reports, official government publications, and COVID-19 data to discern robust future responses. Publicly available epidemiological and economic data were utilised to provide insight into the impact of the pandemic on Australia's healthcare system and economy. Results: Policies implemented by the Australian Government to mitigate the spread of COVID-19 impacted the healthcare sector and economy. This paper incorporates lessons learned to inform optimal economic preparedness. The rationale for an economic response plan concomitant with the health pandemic plan is explored to guide Australian Government policy makers in ensuring holistic and robust solutions for future pandemics. Conclusions: In future, an Australian Economic Pandemic Response Plan will aid in health and economic system preparedness, whilst a strong Australian economy and strategic planning will ensure resilience to future pandemics. Crown Copyright (c) 2020 Published by Elsevier Ltd on behalf of Fellowship of Postgraduate Medicine. All rights reserved."
16,"ObjectiveThis article presents the Americas regional results of the WHO non-communicable diseases (NCDs) Country Capacity Survey from 2019 to 2021, on NCD service capacity and disruptions from the COVID-19 pandemic.SettingInformation on public sector primary care services for NCDs, and related technical inputs from 35 countries in the Americas region are provided.ParticipantsAll Ministry of Health officials managing a national NCD programme, from a WHO Member State in the Americas region, were included throughout this study. Government health officials from countries that are not WHO Member States were excluded.Outcome measuresThe availability of evidence-based NCD guidelines, essential NCD medicines and basic technologies in primary care, cardiovascular disease risk stratification, cancer screening and palliative care services were measured in 2019, 2020 and 2021. NCD service interruptions, reassignments of NCD staff during the COVID-19 pandemic and mitigation strategies to reduce disruptions for NCD services were measured in 2020 and 2021.ResultsMore than 50% of countries reported a lack of comprehensive package of NCD guidelines, essential medicines and related service inputs. Extensive disruptions in NCD services resulted from the pandemic, with only 12/35 countries (34%), reporting that outpatient NCD services were functioning normally. Ministry of Health staff were largely redirected to work on the COVID-19 response, either full time or partially, reducing the human resources available for NCD services. Six of 24 countries (25%) reported stock out of essential NCD medicines and/or diagnostics at health facilities which affected service continuity. Mitigation strategies to ensure continuity of care for people with NCDs were deployed in many countries and included triaging patients, telemedicine and teleconsultations, and electronic prescriptions and other novel prescribing practices.ConclusionsThe findings from this regional survey suggest significant and sustained disruptions, affecting all countries regardless of the country's level of investments in healthcare or NCD burden."
17,"The COVID-19 pandemic continues to be a major public health problem in most countries of the world, especially in developing countries with an underfunded healthcare system. We aim to present a comparative profile of the epidemiological characteristics of the COVID-19 pandemic in Romania and neighboring countries, which have similar onset and a similar socio-cultural pattern. A descriptive comparative study was performed using COVID-19 data collected from various official websites regarding demography, morbidity, mortality, vaccination, and testing capacity. The countries included in the study were Romania, Bulgaria, Hungary, Republic of Moldova, Serbia, and Ukraine. The study period was from week 09/2020 to week 46/2021. Overall, these countries have reported 8,382,441 cases and 216,014 deaths (during the study period). The highest cumulative incidence rate of cases has been recorded in Serbia (17,801.5) and the highest mortality rate has been recorded in Bulgaria (391.0). Romania is in fourth place regarding the cumulative incidence rate of cases/100,000 inhabitants but in third place regarding the mortality due to COVID-19 (case-fatality rate of 3.1%). Although the World Health Organization and EU co-ordinate the COVID-19 response, each state makes its own decisions regarding SARS-CoV-2 mitigation measures, the epidemiological indicators directing us about the effectiveness of responses."
18,"In the absence of effective and adequate vaccines, healthcare decision-makers must rely on non -pharmaceutical interventions (NPIs), such as lockdown, testing, hospital capacity building, and increasing the number of medical staff to control the outbreak of an infectious disease like COVID-19. This manuscript presents a System Dynamics (SD) model to analyze the healthcare system performance under various NPIs during a pandemic. The proposed model, which extends the commonly-used Susceptible-Exposed-Infectious-Recovered (SEIR) model, comprises four sub -models: outbreak, hospital performance, medicine supply, and staff functionality. These sub -models work in harmony to stimulate the impact of NPIs on the disease outbreak pattern and the healthcare system's response to demand surge. The proposed model considers the uncertainty about the nature of the disease, the public's behavior, medicine availability, and medical staff efficiency. The proposed model was applied for the ex-ante evaluation of candidate NPIs adoptable against the COVID-19 outbreak in Iran. Consistent with the reported statistics, the results show that the peak demand can significantly exceed the healthcare system's initial ca-pacity if no action is taken. If simultaneously implemented, lockdown and testing can consider-ably delay the peak of infections, reduce its magnitude, dampen the hospital demand, and decrease mortality. The proposed model is unique as it determines the extent to which system components (e.g., community, healthcare system, and medicine supply chain) impact the observed outcomes (e.g., morbidity and mortality rates). Its structure is generic and flexible, which facilitates the extension and application of the model to evaluate candidate mitigation policies in various geographical contexts."
19,"Background The rapid spread of severe acute respiratory syndrome coronavirus-2 or SARS-CoV-2 necessitated a scaled treatment response to the novel coronavirus disease 2019 (COVID-19). Objective This study aimed to characterize the design and rapid implementation of a complex, multimodal, technology response to COVID-19 led by the Intermountain Healthcare's (Intermountain's) Care Transformation Information Systems (CTIS) organization to build pandemic surge capacity. Methods Intermountain has active community-spread cases of COVID-19 that are increasing. We used the Centers for Disease Control and Prevention Pandemic Intervals Framework (the Framework) to characterize CTIS leadership's multimodal technology response to COVID-19 at Intermountain. We provide results on implementation feasibility and sustainability of health information technology (HIT) interventions as of June 30, 2020, characterize lessons learned and identify persistent barriers to sustained deployment. Results We characterize the CTIS organization's multimodal technology response to COVID-19 in five relevant areas of the Framework enabling (1) incident management, (2) surveillance, (3) laboratory testing, (4) community mitigation, and (5) medical care and countermeasures. We are seeing increased use of traditionally slow-to-adopt technologies that create additional surge capacity while sustaining patient safety and care quality. CTIS leadership recognized early that a multimodal technology intervention could enable additional surge capacity for health care delivery systems with a broad geographic and service scope. A statewide central tracking system to coordinate capacity planning and management response is needed. Order interoperability between health care systems remains a barrier to an integrated response. Conclusion The rate of future pandemics is estimated to increase. The pandemic response of health care systems, like Intermountain, offers a blueprint for the leadership role that HIT organizations can play in mainstream care delivery, enabling a nimbler, virtual health care delivery system that is more responsive to current and future needs."
20,"Background This study investigates individual and regional determinants of worries about inadequate medical treatment in case of a COVID-19 infection, an important indicator of mental wellbeing in pandemic times as it potentially affects the compliance with mitigation measures and the willingness to get vaccinated. The analyses shed light on the following questions: Are there social inequalities in worries about inadequate medical treatment in case of a COVID-19 infection? What is the role of the regional spread of COVID-19 infections and regional healthcare capacities? Methods Based on data derived from the German Socioeconomic Panel (SOEP), a representative sample of the German population aged 18 years and over, we estimated multilevel logistic regression models with individual-level (level 1) and regional-level (level 2) variables. The regional variables of interest were (a) the number of COVID-19 infections, (b) the number of hospital beds as an overall measure of the regional healthcare capacities, and (c) the number of free intensive care units as a measure of the actual capacities for treating patients with severe courses of COVID-19. Results Women, older respondents, persons with migrant background and those with a lower socioeconomic status were more likely to report worries about inadequate medical treatment in case of a COVID-19 infection. Moreover, respondents with chronic illness, lower subjective health and those who consider COVID-19 as a threat for their own health were more likely to report worries. In addition, also regional characteristics were relevant. Worries were more common in poorer regions with higher COVID-19 infections and worse health infrastructure as indicated by the number of hospital beds. Conclusions The analysis not only indicates that several social groups are more concerned about inadequate medical treatment in case of a COVID-19 infection, but also highlights the need for considering regional-level influences, such as the spread of the virus, poverty rates and healthcare infrastructure, when analyzing the social and health-related consequences of the pandemic."
21,"The emergence of the COVID-19 pandemic raises concerns about the capability of governments to develop policies addressing its effects. This article evaluates citizens' attitudes about their governments' early responses to the crisis in three post-Soviet countries (Estonia, Georgia, and Ukraine). We explore how the pandemic emerged, focusing on connections among state capacity, government policy interventions, and crisis mitigation. We also use data from the Perceptions and Attitudes on COVID-19 in Eurasia (PACE) survey to evaluate how individual-level attitudes and characteristics are associated with evaluations of government responsiveness. We find that trust in state institutions affects reported satisfaction with crisis responses."
22,"Objective: To identify risk factors for intensive care unit (ICU) admission and mechanical ventilator usage among confirmed coronavirus disease (COVID-19) patients and estimate the effects of mitigation efforts on ICU capacity in Korea. Patients and Methods: Data on profiles and medical history of all confirmed COVID-19 patients in the past 1 year were extracted from the Korean National Health Insurance System's claims database to assess risk factors for ICU admission and ventilator use. We used a time-series epidemic model to estimate the ICU census in Daegu from the reported hospital data. Findings: Multivariate regression analysis revealed male sex, old age, and residing in Daegu city as significant risk factors for ICU admission. The number of patients requiring ICU admission exceeded the bed capacity across all Daegu hospitals before March 9, 2020, and therefore, critically ill patients were transferred to nearby hospitals outside Daegu. This finding was consistent with our prediction that the ICU census in Daegu would peak on March 16, 2020, at 160 through mitigation efforts, without which it would have reached 300 by late March 2020. Conclusion: Older age and male sex were risk factors for ICU admission. In addition, the geographic location of the hospital seems to contribute to the severity of the COVID-19 patients admitted to the ICU and to the ICU capacity."
23,"COVID-19 has quickly propagated throughout the globe and triggered the worst economic crisis the world has experienced in recent history. We estimate mortality rates and associated economic loss of fatalities for different contagion suppression scenarios in a worldwide group of countries. We adjust previous estimates of mortality rates by adjusting for lower healthcare capacity to treat critically ill patients in lower-income countries. Furthermore, we adjust previous estimates of the economic loss from fatalities by controlling for the age profile of victims. The results show significant economic gains in adopting mitigation strategies, but the marginal gains decrease when moving from mitigation to suppression strategies. Moreover, lower-income countries gain less in moving from no intervention to mitigation and still less in moving from mitigation to suppression than higher-income countries do."
24,"Purpose The first case of COVID-19 in the Malawi prison system was reported in July 2020. Human rights organisations raised concerns about the possibility of significant COVID-19 outbreaks and deaths in the prison system, because of the poor infrastructure, lack of healthcare and adequate COVID-19 mitigation measures, existing co-morbidities (tuberculosis, HIV and hepatitis C), malnutrition and poor health of many prisoners. Design/methodology/approach The authors conducted a legal-realist assessment of the Malawian prison system response to COVID-19 during state disaster measures, with a specific focus on the right to health and standards of healthcare as mandated in international, African and domestic law. Findings The Malawi prison system was relatively successful in preventing serious COVID-19 outbreaks in its prisons, despite the lack of resources and the ad hoc reactive approach adopted. Whilst the Malawi national COVID plan was aligned to international and regional protocols, the combination of infrastructural deficits (clinical staff and medical provisions) and poor conditions of detention (congestion, lack of ventilation, hygiene and sanitation) were conducive to poor health and the spread of communicable disease. The state of disaster declared by the Malawi Government and visitation restrictions at prisons worsened prison conditions for those working and living there. Originality/value In sub-Saharan Africa, there is limited capacity of prisons to adequately respond to COVID-19. This is the first legal-realist assessment of the Malawian prison system approach to tackling COVID-19, and it contributes to a growing evidence of human rights-based investigations into COVID-19 responses in African prisons (Ethiopia, South Africa and Zimbabwe)."
25,"Introduction: The persisting and evolving COVID-19 pandemic has made apparent that no singular policy of mitigation at a regional, national or global level has achieved satisfactory and universally acceptable results. In the United States, carefully planned and executed pandemic policies have been neither effective nor popular and COVID-19 risk management decisions have been relegated to individual citizens and communities. In this paper, we argue that a more effective approach is to equip and strengthen community coalitions to become local learning health communities (LLHCs) that use data over time to make adaptive decisions that can optimize the equity and well-being in their communities. Methods: We used data from the North Carolina (NC) county and zip code levels from May to August 2020 to demonstrate how a LLHC could use statistical process control (SPC) charts and simple statistical analysis to make local decisions about how to respond to COVID-19. Results: We found many patterns of COVID-19 progression at the local (county and zip code) levels during the same time period within the state that were completely different from the aggregate NC state level data used for policy making. Conclusions: Systematic approaches to learning from local data to support effective decisions have promise well beyond the current pandemic. These tools can help address other complex public health issues, and advance outcomes and equity. Building this capacity requires investment in data infrastructure and the strengthening of data competencies in community coalitions to better interpret data with limited need for advanced statistical expertise. Additional incentives that build trust, support data transparency, encourage truth-telling and promote meaningful teamwork are also critical. These must be carefully designed, contextually appropriate and multifaceted to motivate citizens to create and sustain an effective learning system that works for their communities."
26,"This position statement provides researchers, practitioners, and policymakers an overview of pre-existing and COVID-related rural health inequities in the United States (U.S.) and how they have been exacerbated by the COVID-19 pandemic. Health deserts, defined as large areas with inadequate or nonexistent medical and trauma facilities, are common in rural regions of the U.S. While telehealth could address some of these health-related inequities, significant gaps in broadband Internet availability are also common in these more remote areas. The Society of Behavioral Medicine urges Congress to authorize increased funding to rural healthcare facilities and staffing, along with the development of enhanced broadband Internet infrastructure. In addition, incentivizing rural healthcare systems to deliver value-based care could enhance their capacity to implement population health and behavioral health strategies. To stem the spread of COVID-19 in higher-risk rural-based industries (e.g., food processing plants), SBM urges Congress to require the Occupational Safety and Health Administration (OSHA) to routinely inspect for and enforce COVID-19 mitigation procedures, such as provision of effective Personal Protective Equipment (PPE) to all front-line workers and consistent implementation of standardized testing and social distancing advisories. The context of rural communities underscores the importance of tailored approaches to mitigate rural health inequities and promote the well-being of rural residents."
